"item_id","event_id","product_id","store_id","hide","num_has","num_wants","priority","added_at","descr","buy_request","sku_product_id","num_total","num_user_set"
"1","1","588","0","0","0","1","0","2013-11-22 20:33:49",,"a:2:{s:7:""product"";s:3:""588"";s:3:""qty"";i:1;}","588","2","0"
"2","1","218","0","0","0","5","0","2013-11-22 23:08:04",,"a:4:{s:7:""product"";s:3:""218"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","218","1","0"
"3","1","207","0","0","0","1","0","2013-11-22 23:24:13",,"a:4:{s:7:""product"";s:3:""207"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","207","0","0"
"4","1","234","0","0","0","1","0","2013-11-23 00:04:42",,"a:2:{s:7:""product"";s:3:""234"";s:3:""qty"";i:1;}","234","0","0"
"5","1","329","0","0","0","1","0","2013-11-26 15:29:34",,"a:4:{s:7:""product"";s:3:""329"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","329","0","0"
"6","2","588","0","0","0","1","0","2013-11-26 15:46:55",,"a:4:{s:7:""product"";s:3:""588"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","588","0","0"
"7","2","216","0","0","0","1","0","2013-11-26 18:58:29",,"a:4:{s:7:""product"";s:3:""216"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","216","0","0"
"8","1","216","0","0","0","1","0","2013-11-26 19:33:33",,"a:4:{s:7:""product"";s:3:""216"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","216","0","0"
"9","2","234","0","0","0","1","0","2013-11-26 22:11:16",,"a:2:{s:7:""product"";s:3:""234"";s:3:""qty"";i:1;}","234","0","0"
"10","2","235","0","0","0","1","0","2013-11-26 22:16:03",,"a:2:{s:7:""product"";s:3:""235"";s:3:""qty"";i:1;}","235","0","0"
"11","1","235","0","0","0","1","0","2013-11-26 22:17:51",,"a:2:{s:7:""product"";s:3:""235"";s:3:""qty"";i:1;}","235","0","0"
"12","3","329","0","0","0","3","2","2013-11-26 22:54:15",,"a:2:{s:7:""product"";s:3:""329"";s:3:""qty"";i:1;}","329","0","0"
"13","3","550","0","0","0","1","0","2013-11-26 23:26:04",,"a:2:{s:7:""product"";s:3:""550"";s:3:""qty"";i:1;}","550","0","0"
"14","5","617","0","0","0","1","0","2013-12-02 14:37:33",,"a:4:{s:7:""product"";s:3:""617"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","617","1","0"
"15","1","617","0","0","0","1","0","2013-12-02 14:38:17",,"a:2:{s:7:""product"";s:3:""617"";s:3:""qty"";i:1;}","617","0","0"
"16","6","219","0","0","0","1","0","2013-12-04 16:13:32",,"a:2:{s:7:""product"";s:3:""219"";s:3:""qty"";i:1;}","219","0","0"
"17","7","660","0","0","0","1","1","2013-12-04 20:26:52","great","a:2:{s:7:""product"";s:3:""660"";s:3:""qty"";i:1;}","660","1","0"
"18","7","589","0","0","0","5","0","2013-12-04 20:43:13","test","a:2:{s:7:""product"";s:3:""589"";s:3:""qty"";i:1;}","589","0","0"
"19","7","688","0","0","0","1","0","2013-12-04 20:44:45","nice","a:2:{s:7:""product"";s:3:""688"";s:3:""qty"";i:1;}","688","0","0"
"20","7","185","0","0","0","3","0","2013-12-04 20:50:47","great","a:2:{s:7:""product"";s:3:""185"";s:3:""qty"";i:1;}","185","1","0"
"21","1","190","0","0","0","1","0","2013-12-04 23:48:52",,"a:4:{s:7:""product"";s:3:""190"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","190","0","0"
"22","5","675","0","0","0","1","0","2013-12-04 23:59:53",,"a:5:{s:7:""product"";s:3:""675"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""97"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","356","0","0"
"23","4","675","0","0","0","1","0","2013-12-05 00:02:41",,"a:6:{s:7:""product"";s:3:""675"";s:6:""5event"";s:1:""4"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""94"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","359","0","0"
"24","1","675","0","0","0","1","0","2013-12-05 14:11:32",,"a:5:{s:7:""product"";s:3:""675"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""93"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","360","0","0"
"25","5","675","0","0","0","1","0","2013-12-05 15:17:21",,"a:5:{s:7:""product"";s:3:""675"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""89"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","365","0","0"
"26","5","549","0","0","0","1","0","2013-12-09 15:15:26",,"a:4:{s:7:""product"";s:3:""549"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","549","0","0"
"27","3","835","0","0","0","1","0","2013-12-10 21:17:42",,"a:5:{s:7:""product"";s:3:""835"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""94"";i:136;s:3:""187"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","829","0","0"
"28","5","165","0","0","0","1","0","2014-01-09 16:10:18",,"a:4:{s:7:""product"";s:3:""165"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","165","0","0"
"29","8","1337","0","0","0","1","0","2014-01-14 15:18:08",,"a:3:{s:7:""product"";s:4:""1337"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";}","1337","2","0"
"30","8","1251","0","0","0","1","2","2014-01-14 15:20:30",,"a:3:{s:7:""product"";s:4:""1251"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";}","1251","0","0"
"32","8","1250","0","0","0","1","1","2014-01-14 15:30:08",,"a:3:{s:7:""product"";s:4:""1250"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";}","1250","0","0"
"33","8","1303","0","0","0","10","2","2014-01-14 15:33:19",,"a:3:{s:7:""product"";s:4:""1303"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";}","1303","0","0"
