Aabaco - pishposhbaby,Aabaco Columns,Aabaco ,mappedCol
id,A,id,
code,B,code,
page-title,C,featured-item,
specs-brake,D,ship-weight,
multi-option-page,E,merchant-category,
featured-column-6,F,label,
emphasis-image-yes,G,headline,
specs-gender,H,sale-price,
condition,I,multi-add-ids,
featured-column-1,J,orderable,
specs-adjustable-handlebar,K,cross-sell,
page-keywords,L,options,
specs-harness,M,taxable,
specs-head-height,N,condition,
promo-var-5,O,family,
pecs-load-leg,P,price,
no-free-shipping,Q,abstract,
specs-rebound-bar,R,brand,
exclude-states,S,gift-certificate,
specs-box-dimensions,T,caption,
featured-column-14,U,product-url,
caption,V,name,
origin-zip,W,ey-lp-kicker-graphic-link-1,
sarah-tip,X,ey-lp-kicker-image-2-link,
image2-link,Y,tab-2-title,
featured-column-13,Z,tab-3-text,
specs-warranty,AA,ey-lp-graphic-link,
king-promo-id,AB,ey-lp-kicker-graphic-link-2,
specs-convertible,AC,category-tagline,
featured-column-2,AD,tab-2-text,
kicker-links-alts,AE,ey-lp-image-link,
canonical-url,AF,meta-keywords,
questions-answers,AG,meta-description,
featured-column-3,AH,mega-image-alt-2,
specs-bassinet-available,AI,ey-lp-kicker-image-1-link,
hide-free-shipping,AJ,topnav-16,
tabbed-scroller,AK,yahoo-shopping-category,
specs-carseat-compatible,AL,ey-lp-kicker-graphic-link-3,
pre-order,AM,lp-2015,
multi-box-weights,AN,meta-title,
label,AO,sc-enlarge-titles,
featured-column-15,AP,ey-lp-kicker-graphic-link-4,
enable-responsive-design,AQ,banner-title-white,
specs-wheel-size,AR,short-name,
featured-column-7,AS,specifications,
ey-hide-leftnav,AT,mm-banner-text-left,
use-new-treepodia,AU,mega-image-link-2,
headline,AV,mega-image-alt-1,
specs-folded-dimensions,AW,mega-image-link-1,
manufacturer-part-number,AX,mm-banner-text-right,
sale-price,AY,tab-3-title,
promo-var-2,AZ,topnav,
promo-text,BA,,
invalid-ship-methods,BB,,
whats-in-the-box,BC,,
orderable,BD,,
specs-wheel-type,BE,,
options,BF,,
product-url,BG,,
specs-load-leg,BH,,
extra-info,BI,,
specs-base-color,BJ,,
taxable,BK,,
specs-dimensions,BL,,
promo-item-text,BM,,
multi-add-ids,BN,,
video-popup,BO,,
video,BP,,
use-treepodia,BQ,,
brand,BR,,
free-ship-method,BS,,
family,BT,,
price,BU,,
rotate-links-alts,BV,,
number-of-boxes,BW,,
abstract,BX,,
path,BY,,
specs-weight,BZ,,
gift-certificate,CA,,
item-hex-code,CB,,
name,CC,,
new-item,CD,,
top-nav,CE,,
specs-weight-capacity,CF,,
inic-availability,CG,,
product-testimonial,CH,,
featured-column-9,CI,,
upc,CJ,,
promo-var-1,CK,,
exclude-countries,CL,,
sarahs-pick,CM,,
section-final-text,CN,,
back-ordered,CO,,
dimensions,CP,,
ship-weight,CQ,,
markup,CR,,
item-option-name,CS,,
featured-column-10,CT,,
specs,CU,,
drop-ship,CV,,
featured-column-8,CW,,
merchant-category,CX,,
free-shipping,CY,,
featured-column-11,CZ,,
specs-category,DA,,
specs-year,DB,,
ship-alone,DC,,
global-free-ship-exclusion,DD,,
promo-var-3,DE,,
featured-item,DF,,
specs-color,DG,,
featured-column-12,DH,,
specs-reversible-seat,DI,,
specs-fabric,DJ,,
featured-column-4,DK,,
cross-sell,DL,,
page-description,DM,,
featured-column-5,DN,,
promo-var-4,DO,,
specs-recline,DP,,
multi-box-dimensions,DQ,,
flat-ship-rates,DR,,
video-link,DS,,
